id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19267955,"Private room with bath, close to Downtown Austin",134919686,Shana,,78741,30.23397,-97.73278,Private room,40,1,4,2017-07-09,0.08,1,0
19271012,Walk to Zilker Park from a Stylish Condo,23631228,Megan,,78703,30.27283,-97.7542,Entire home/apt,161,2,160,2021-06-11,4.25,1,128
19271524,Beautiful Private room in Central East Austin,2585093,Cory,,78722,30.30351,-97.71107,Private room,24,1,0,,,2,0
19285055,Dowtown Austin High Rise,135053335,Collin,,78703,30.26968,-97.75394,Entire home/apt,200,1,1,2017-06-18,0.02,1,0
19295842,Zilker Park + Downtown + Barton Springs in a Breeze,50214619,Ames - Austin Vacay,,78704,30.25194,-97.76762,Entire home/apt,99,1,316,2021-07-07,9.60,13,339
19297733,The Bird Nest,12427478,Adam And Ashley,,78702,30.26799,-97.73077,Entire home/apt,191,3,166,2021-06-27,4.53,3,163
19310505,Your Austin Oasis - Minutes from SOCO,8834873,Riley,,78704,30.24588,-97.74226,Private room,60,5,7,2021-06-05,0.14,2,122
19314894,East Austin Forest House - Entire house Bed & Bath,400704,Sarah,,78721,30.27494,-97.69395,Entire home/apt,120,2,11,2019-08-25,0.27,2,0
19328783,"Exclusive,  Beautiful Lake Views, Peace and Quiet Oasis",70555486,Thomas,,78732,30.41567,-97.89156,Entire home/apt,150,30,35,2021-06-06,1.26,1,289
19329015,Treemont Home,118565935,Renters Club,,78746,30.27014,-97.79359,Entire home/apt,2191,2,6,2019-05-26,0.13,74,357
19329016,Travis Heights Contemporary,118565935,Renters Club,,78704,30.24628,-97.74125,Entire home/apt,3557,3,5,2018-10-22,0.12,74,189
19329027,Bouldin Home,118565935,Renters Club,,78704,30.25448,-97.75885,Entire home/apt,1776,3,1,2017-11-23,0.02,74,189
19346509,Enchanting Home with Pool-Walk Everywhere!,2463926,Robyn,,78703,30.28326,-97.75702,Entire home/apt,861,3,68,2021-06-13,1.69,2,312
19347599,Cozy ATX Retreat    {NW Hwy 183},96577325,Caleb,,78729,30.46064,-97.78539,Entire home/apt,200,7,46,2020-10-25,0.98,5,4
19355450,Central Austin home 7 miles from downtown!,1290259,Rani And Maribel,,78758,30.35963,-97.71494,Entire home/apt,281,1,194,2021-07-05,6.21,2,17
19363077,Charming renovated house in East Austin,2739520,Biz,,78702,30.27329,-97.72157,Entire home/apt,125,1,9,2018-06-10,0.18,1,0
19364334,"Private Bedrm & Bathrm in Shared, Happy Apt :)",24941801,Melissa,,78749,30.2302,-97.83946,Private room,59,2,41,2021-05-22,1.22,2,154
19381707,Spacious Luxury Apartment in N. Austin,26049921,Tayo,,78754,30.37924,-97.65067,Entire home/apt,55,2,0,,,2,0
19384587,Trendy 3/2 East Austin Home With Outdoor Space,28839258,Ashley,,78724,30.29003,-97.64682,Entire home/apt,175,1,36,2021-07-05,1.17,1,143
19386525,GREAT unit on S. Lamar just 10 mins from Downtown,91522429,Christopher,,78704,30.23734,-97.79189,Entire home/apt,175,1,45,2019-07-06,0.94,1,0
19390484,HUGE ELEGANT 2BR in the DOMAIN! 1300 sq ft!,117514357,Andrew,,78758,30.40078,-97.72441,Entire home/apt,175,1,54,2019-07-02,1.26,2,0
19402699,"Eat, Shop, and Admire Art from a Modern Apartment",48411870,Ann,,78703,30.27536,-97.75507,Entire home/apt,226,3,46,2021-06-30,1.17,1,70
19408822,Deep Eddy Cottage,20868075,Melissa,,78703,30.27824,-97.77241,Entire home/apt,127,28,21,2020-08-30,1.35,2,126
19432213,Spacious Master Bedroom Suite w Bath in North ATX,16990248,Stan Haozhe,,78728,30.44947,-97.6833,Private room,85,2,1,2018-03-17,0.02,1,0
19437683,Bamboo Grove Townhome,17270992,Kristin,,78746,30.27668,-97.80044,Entire home/apt,700,2,0,,,1,4
19438484,Spring Savings-E. Austin Flat Close to DT,136283354,Candice,,78722,30.2824,-97.71167,Entire home/apt,90,3,73,2019-08-15,1.84,1,0
19455685,The Beach Cottage by Lake Austin,54611289,Kristin,,78733,30.34514,-97.86534,Entire home/apt,275,30,2,2020-05-30,0.06,2,73
19468454,N.Lamar: Private Room,8167447,Martin,,78751,30.31991,-97.72946,Private room,41,30,5,2019-11-10,0.13,76,329
19472063,SXSW Exclusive,118565935,Renters Club,,78703,30.27934,-97.75451,Entire home/apt,9718,3,0,,,74,305
19472938,Lake Austin Guest House- pet friendly,134613403,Samantha,,78732,30.33231,-97.9274,Entire home/apt,123,2,220,2021-06-21,6.23,1,71
19473894,Cozy Up in a Vintage Airstream in Barton Springs- Long Term,2204100,Leeann,,78704,30.23289,-97.76829,Entire home/apt,150,2,157,2021-07-05,3.87,1,223
19475762,"If you come to Texas,  stay on a Texas Horse Ranch",76978427,Chuck And Francie,,78744,30.16274,-97.76473,Entire home/apt,89,1,78,2020-03-16,1.59,2,0
19488660,IKEA room,12776573,Paige,,78748,30.17342,-97.84714,Private room,125,1,0,,,1,0
19488978,"Blunn Creek Studio D - cute, cheap, clean!",579290,Jay,,78704,30.24566,-97.74567,Entire home/apt,81,2,154,2021-06-24,3.20,23,286
19490974,Quiet space in busy and vibrant part of ATX,7069915,Sara,,78723,30.30604,-97.68507,Private room,45,1,9,2017-07-30,0.18,1,0
19496305,Lake Travis Waterfront,120389481,Pat,,78734,30.38686,-97.96294,Entire home/apt,500,3,55,2021-07-05,1.53,1,228
19496423,★Cottage 4 - Great for Exploring SoCo-SLEEPS 4! ★,17406638,Paul & Erin,,78704,30.23279,-97.75989,Entire home/apt,74,2,272,2021-07-07,10.12,5,279
19497035,"★Quiet, Private, South Congress Cottage ★3★",17406638,Paul & Erin,,78704,30.23081,-97.76066,Entire home/apt,70,2,345,2021-07-03,7.41,5,271
19498556,Private Bedroom with COMFORTABLE Queen,136900315,Alex And Erin,,78725,30.24047,-97.57861,Private room,48,2,1,2017-10-23,0.02,1,0
19505687,Peace and Quiet near the Domain,31939073,Gina,,78758,30.40242,-97.70673,Entire home/apt,125,2,45,2018-06-10,0.92,1,0
19529375,Private Bedroom and Bath near UT & Downtown,137154311,Louie,,78705,30.29313,-97.74483,Private room,35,1,11,2017-07-30,0.23,1,0
19531460,1 BR Luxury Apartment Near Downtown & Zilker Park,13620154,Brandon,,78704,30.24346,-97.78239,Entire home/apt,250,2,2,2017-10-22,0.04,1,0
19540952,Private room/bath in a relaxed modern home.,96292496,Greg,,78753,30.35118,-97.68715,Private room,48,1,34,2020-03-09,0.75,1,0
19546107,★Great For Exploring the SoCo Area - Sleeps 6!★,17406638,Paul & Erin,,78704,30.2329,-97.7584,Entire home/apt,113,1,62,2021-07-04,1.37,5,2
19547270,"★SLEEPS 3, Great For Exploring South Congress! ★2★",17406638,Paul & Erin,,78704,30.23089,-97.75992,Entire home/apt,74,2,282,2021-07-03,8.83,5,308
19547838,★ Cute South Congress Studio! Private & comfy! ★5★,17406638,Paul & Erin,,78704,30.23172,-97.76053,Entire home/apt,71,2,284,2021-07-07,5.83,5,306
19567402,★Perfect for Couples★ 5 Min from SoCo & DWTN!!,12925390,Nathan &,,78704,30.24084,-97.73911,Entire home/apt,73,2,287,2021-07-06,10.19,5,73
19572818,Modern Duplex 2 Bed + 2 Full Bath,109751507,Steven,,78748,30.17564,-97.8335,Entire home/apt,50,1,36,2020-03-15,0.74,2,0
19573575,Secret Shangri la in Central Austin,137560562,Susan,,78757,30.33278,-97.73159,Entire home/apt,96,2,96,2021-06-28,2.51,1,249
19624388,Modern East Side Home w/ Pool. 1 Mile to Downtown.,1439593,Michael,,78702,30.26865,-97.72214,Entire home/apt,317,2,21,2021-06-13,1.04,2,0
19638094,Clean Modern Home in New Urban Community,737040,Brian,,78723,30.29893,-97.70306,Entire home/apt,300,7,2,2019-07-23,0.07,1,0
19643938,South Austin Apartment,10906547,Victor,,78741,30.22603,-97.74534,Entire home/apt,75,2,8,2019-06-22,0.21,1,0
19662891,Bright Guest Cottage with Courtyard Patio,13955685,Erin,,78704,30.25054,-97.76143,Entire home/apt,84,2,254,2021-06-24,6.51,1,86
19673502,Comfy private hideaway near everything,138536935,Brian,,78723,30.3039,-97.70975,Shared room,85,1,1,2017-09-12,0.02,1,0
19673568,Home sweet home,11528408,Brittany,,78705,30.29636,-97.73929,Private room,48,2,0,,,1,0
19677719,Green Acre in Austin,100567230,Kate,,78741,30.22742,-97.73883,Private room,89,3,110,2021-06-08,2.33,1,170
19695459,Hip East Side Tiny Pad,138747475,Rebecca,,78722,30.2864,-97.72147,Entire home/apt,75,2,266,2021-06-28,5.65,2,68
19698184,Cool retreat near downtown,1274243,Susan,,78731,30.33519,-97.75929,Entire home/apt,98,60,11,2021-03-15,0.28,3,108
19712479,"Entire House, Near Downtown, Quiet Convenience",40416508,Betty,,78702,30.25279,-97.72637,Entire home/apt,172,3,117,2021-06-27,5.09,3,64
19715902,$25night weekday $40night weekends. RV Style,93179278,Christina,,78728,30.47261,-97.68291,Private room,45,1,0,,,1,0
19719368,Stay in a Hip Condo Retreat near Town Lake,62973257,Jenn,,78703,30.27505,-97.76213,Entire home/apt,113,1,234,2021-06-30,5.18,1,2
19721357,Stylish Loft in Vibrant Neighborhood by UT Austin!,73764238,Carolyn,,78723,30.29196,-97.7076,Entire home/apt,125,2,82,2020-01-01,2.03,1,0
19736710,Home away from home,139163823,Nadia,,78744,30.20013,-97.69766,Private room,80,1,16,2019-09-20,0.48,1,0
19749180,Charming 2/1 with great patio. Pet friendly!,579290,Jay,,78704,30.2454,-97.7852,Entire home/apt,186,3,8,2019-12-29,0.17,23,8
19750827,"Large room off S Lamar, close to ACL/downtown",27634112,Alanna,,78704,30.23508,-97.77353,Private room,75,3,16,2019-10-14,0.48,4,0
19766891,Rustic Southern Ranch Style Home w/ Big Pool,139508995,Kim,,78723,30.29805,-97.67939,Entire home/apt,369,1,194,2021-06-20,4.81,1,131
19769283,Stand Alone Private Lake Travis Yurt Treehouse 15,133455416,Leticia,,78734,30.37136,-97.98864,Entire home/apt,234,2,193,2021-07-07,4.99,1,124
19789358,Ongi Etorri - Breakfast & Next to the Airport,1194156,Juliet & Alfredo,,78725,30.21547,-97.63781,Private room,38,1,542,2021-07-07,14.64,1,28
19801236,Private Room in Prime Location,74063510,Alicia,,78741,30.22326,-97.70209,Private room,41,2,12,2020-02-17,0.74,1,0
19805452,"Private Room @ Urban Homestead - near UT, downtown",15718301,Margaret,,78722,30.28667,-97.7123,Private room,55,1,24,2019-05-08,0.93,2,0
19806310,Classic East Austin Home,15718301,Margaret,,78722,30.28642,-97.71089,Entire home/apt,130,2,6,2019-03-17,0.22,2,0
19808908,New Spacious South Austin Modern/Cozy,15618494,Paul,,78748,30.15065,-97.83564,Entire home/apt,142,2,15,2021-07-05,5.49,2,4
19811107,Aviva's Place - Private Studio in Hyde Park,109686223,Aviva,,78751,30.30168,-97.7312,Entire home/apt,96,31,69,2020-02-18,1.53,1,158
19812421,Peaceful basecamp in S. Central Austin,1199817,Ryan,,78704,30.23011,-97.77128,Private room,55,1,24,2018-10-16,0.67,1,0
19812784,SOCO 1920's Remodeled Jewel Box/Executive housing,2141281,Melanie,,78704,30.24796,-97.75151,Entire home/apt,395,31,20,2021-04-21,0.44,3,139
19839786,"Modern bungalow near UT for SXSW, weekends, summer",12434816,Cile,,78705,30.29734,-97.72911,Entire home/apt,225,30,2,2018-05-27,0.04,1,0
19840017,Six Bedroom Downtown Luxury Retreat - Walk to Zilker Park,138398089,GuestSpaces,,78703,30.27832,-97.77072,Entire home/apt,673,2,46,2020-02-07,1.43,30,313
19840061,Two Story Treehouse- 5 minutes to Downtown! | Professionally Cleaned + Hosted By GuestSpaces,138398089,GuestSpaces,,78704,30.2608,-97.77383,Entire home/apt,721,2,24,2021-06-06,0.83,30,307
19840835,Eco Friendly Tiny Apartment,3440175,James,,78702,30.25438,-97.70306,Private room,5,1,1,2017-07-16,0.02,8,0
19843334,Social Distance! WalkerVR Lake Austin Modern *Private Dock*,15864252,Walker Luxury Vacation,,78730,30.34046,-97.81704,Entire home/apt,1830,2,4,2020-06-09,0.08,14,210
19857723,Hip Condo in Heart of SoCo,140430284,Natalie,,78704,30.24368,-97.75129,Entire home/apt,71,90,2,2020-04-30,0.09,1,231
19861351,"South Lamar Duplex w/ Austin's Iconic ""i love you so much"" Mural | Professionally Cleaned + Hosted By GuestSpaces",138398089,GuestSpaces,,78704,30.25093,-97.78305,Entire home/apt,531,2,31,2020-06-07,0.67,30,327
19863105,"Perfect, lovely home for long term stays",140486704,Crystal,,78744,30.16156,-97.7803,Private room,39,31,19,2021-01-10,0.53,1,189
19863514,Best Location! Walk to Hot Restaurants/Bars/Lake,4147674,Jessica,,78702,30.25655,-97.72509,Entire home/apt,123,2,149,2021-06-21,3.58,2,300
19875825,Modern Luxury 3 Miles to Downtown,78023638,Ben And Ginger,,78703,30.295,-97.76329,Entire home/apt,300,2,25,2019-09-02,0.53,1,0
19875868,Art-Inspired Condo with Balcony,140665257,Priya,,78701,30.28064,-97.74458,Private room,108,1,269,2021-06-26,9.22,4,77
19876395,Your new place,48344008,Subhan,,78705,30.29052,-97.7434,Entire home/apt,67,2,1,2017-07-23,0.02,1,0
19885723,North Austin room in shared house,140749310,Jeffrey,,78729,30.46137,-97.78377,Private room,21,60,1,2017-12-16,0.02,1,282
19892163,"Walk to Downtown, ACL, SXWS!",11979273,Cory,,78704,30.25551,-97.7617,Entire home/apt,245,2,15,2021-06-13,0.33,1,66
19892325,"The 808 Fun walk 2 bars,food trucks.next 2 highway",140824248,Rey,,78702,30.25814,-97.7368,Entire home/apt,1128,2,274,2021-07-05,9.69,2,87
19908226,Quiet & relaxing cozy apartment in South Austin,20522731,Norense,,78745,30.21177,-97.81605,Entire home/apt,100,2,16,2019-11-03,0.33,4,0
19948877,Cozy Room #4 {NW Hwy 183},96577325,Caleb,,78729,30.45911,-97.78602,Private room,40,1,186,2021-07-04,4.93,5,358
19950968,Entire Three BR Texas-Modern House in 78704,9331076,Leland,,78704,30.22994,-97.77372,Entire home/apt,150,2,1,2017-07-30,0.02,3,0
19952574,Private Room with Full Bathroom in Austin,22248385,Gonzalo,,78753,30.39022,-97.65887,Private room,32,2,16,2019-03-16,0.34,2,0
19953348,Private Room with Full Bathroom in Austin,72205063,David,,78753,30.39029,-97.65782,Private room,40,1,0,,,1,0
19962072,Picturesque Point - Pool and Lake Views!,118565935,Renters Club,,78730,30.35826,-97.85024,Entire home/apt,1397,2,60,2021-06-24,2.93,74,296
19966750,New Cozy Central Austin Home,107365349,Peter,,78753,30.34342,-97.69199,Private room,75,1,4,2019-04-15,0.08,1,362
19982210,Apartment on the hill,24856295,Kat,,78731,30.32473,-97.75568,Entire home/apt,150,2,171,2020-03-08,9.03,1,113
19983675,"Updated 2/1.5 w/ king, queen - 2mi to DT. Pets ok",579290,Jay,,78704,30.24422,-97.77293,Entire home/apt,134,28,26,2021-06-13,1.04,23,297
19994783,Johnson Creek Cabin,139756350,Doug,,78703,30.27951,-97.77148,Entire home/apt,99,2,128,2021-07-04,3.14,2,300
20002168,Evans: Shared Room in Great Community,8167447,Martin,,78751,30.31655,-97.71654,Shared room,25,30,3,2019-07-14,0.08,76,310
20010784,Spacious House - Four Beds + Two Full Bathrooms,22248385,Gonzalo,,78753,30.38858,-97.6593,Entire home/apt,120,2,8,2018-05-28,0.17,2,0
20014046,Relaxing Mueller Retreat - 3 miles to Downtown!,11165366,Rob,,78723,30.29484,-97.69692,Entire home/apt,171,2,11,2019-07-07,0.24,1,0
20016920,Private SoCo Home w/ Pool,52972375,Reid,,78704,30.24371,-97.75304,Entire home/apt,123,30,65,2020-06-20,1.38,2,31
20017883,Modern Clean East Austin 2 Bedroom/2.5 Bath Home,579365,Aziz,,78721,30.28033,-97.67638,Entire home/apt,136,2,85,2019-04-01,2.10,1,0
20027618,N.Lamar. Economic Spot in Great Community 5,8167447,Martin,,78756,30.32002,-97.73123,Shared room,16,30,10,2021-02-07,0.25,76,341
20027827,Modern Luxury House in East Downtown,30225950,Eastside Villas,,78702,30.27317,-97.72971,Entire home/apt,771,3,118,2021-06-27,2.76,3,280
20030072,Quiet Austin Retreat near Zilker Park,2109636,Liam,,78704,30.25739,-97.75347,Entire home/apt,179,3,227,2021-07-05,6.54,1,20
20032043,Relaxing Modern Farmhouse in the Heart of Austin,35659978,Amelia,,78704,30.24686,-97.77359,Entire home/apt,309,5,77,2021-06-30,1.72,1,141
20033689,Modern House 10 Min From All You Want to Do in ATX,17040271,Mohsen,,78704,30.24331,-97.77532,Entire home/apt,164,2,93,2021-06-24,3.40,3,113
20036438,Tiny garage apartment #2,3425666,Nate,,78758,30.35495,-97.70906,Private room,30,1,237,2021-07-01,6.10,5,74
20036674,Tiny garage apartment #1 (no guests with cars),3425666,Nate,,78758,30.35647,-97.70741,Private room,29,1,223,2021-06-23,7.40,5,82
20050437,Travis Heights Polished,118565935,Renters Club,,78704,30.24575,-97.74306,Entire home/apt,2349,3,1,2018-03-14,0.02,74,281
20069591,Artist's South Austin Studio Bungalow,92634357,Olivia,,78749,30.21536,-97.85189,Entire home/apt,86,1,445,2021-06-15,9.67,2,36
20075196,Peaceful Space Southwest Austin,2000906,Babs,,78736,30.24504,-97.88877,Private room,39,30,6,2020-11-07,0.17,1,96
20075825,Corporate Condo - South Austin,142715931,Sarita,,78747,30.13847,-97.79622,Private room,99,32,1,2018-09-02,0.03,1,90
20095230,Texas themed private studio near Airport &downtown,36075426,Colleen,,78721,30.25451,-97.6857,Entire home/apt,76,1,146,2021-06-01,6.65,25,67
20122299,Charming & Central Hyde Park Treehouse Apartment,4784363,Sarah And David,,78751,30.30951,-97.71993,Entire home/apt,86,2,272,2021-06-27,6.67,1,42
20147722,Beautiful Central Austin Home (Domain Area),128277102,Tirso,,78759,30.41146,-97.73298,Entire home/apt,308,60,6,2021-03-20,0.21,1,358
20148978,Rare 3/3 Downtown/Greenbelt - Treehouse Vibes,33576967,Adam,,78746,30.25854,-97.78515,Entire home/apt,499,2,8,2018-10-21,0.19,1,0
20150256,Casa de Llama,47988846,Hanna & Lorraine,,78704,30.25027,-97.74436,Entire home/apt,115,7,107,2021-06-28,2.35,1,0
20150958,Min 30 days Austin Parking Home Office Kitchen 2,49009585,Roopa,,78717,30.48315,-97.78904,Private room,32,7,104,2021-06-18,2.65,8,130
20153781,Above & beyond in S. Austin,147067971,Candace,,78747,30.13847,-97.79537,Entire home/apt,450,2,16,2018-04-30,0.35,1,189
20171877,"Villa Austin , Lux View & Private Pool",24516340,David,,78741,30.24514,-97.73239,Entire home/apt,638,2,104,2021-06-20,2.57,15,122
20172684,Walk to Best of East Austin From 1930s Charmer,6336386,Stephanie,,78702,30.26861,-97.71799,Entire home/apt,650,4,21,2021-07-05,0.74,1,31
20176153,Remodeled Condo in South Austin!,52265894,Brittany,,78746,30.26082,-97.79905,Private room,45,30,1,2017-10-17,0.02,1,0
20186841,Custom European Estate Home on Lake Austin,143726800,Julie,,78732,30.34755,-97.87487,Entire home/apt,1250,2,0,,,1,0
20191081,Greenbelt,49190940,Anthony,,78746,30.25718,-97.79127,Entire home/apt,95,1,18,2018-01-14,0.38,1,0
20191407,Dream House in ATX,64119759,Annie,,78702,30.27192,-97.72541,Private room,44,1,1,2017-08-04,0.02,1,0
20194856,Airstream Dream - East Downtown Oasis,4174570,Tim,,78702,30.27232,-97.72456,Entire home/apt,93,2,350,2021-06-19,9.29,1,17
20196659,"Sunny, central one-bedroom in beautiful Hyde Park",15781309,Mary,,78751,30.30696,-97.72948,Entire home/apt,79,2,6,2017-12-13,0.13,1,0
20210230,The Magnolia Room,38775443,Jacob,,78754,30.34498,-97.62556,Private room,40,1,17,2019-08-09,0.62,3,0
20211477,Newly Built Downtown Austin Home w/ Hot Tub | Professionally Cleaned + Hosted By GuestSpaces,138398089,GuestSpaces,,78702,30.25497,-97.71912,Entire home/apt,590,2,87,2021-06-27,2.63,30,324
20220399,Contemporary Gem with Private Patios - Near Dining,109638288,TurnKey Vacation Rentals,,78704,30.2469,-97.75704,Entire home/apt,169,2,34,2021-07-01,8.95,74,310
20226411,Planet Rock -Glamping at a Texas Distillery,5037767,Bill,,78734,30.42051,-97.93055,Entire home/apt,675,2,25,2020-10-04,0.55,1,278
20236055,Kestens place master bedroom (with free bikes!),41545628,Kesten,,78702,30.27193,-97.7152,Private room,34,30,9,2020-10-23,0.22,4,126
20242699,One Bedroom with Private Entrance and Bath,129331351,Tom,,78744,30.19737,-97.72837,Entire home/apt,64,30,0,,,3,343
20264669,"NICE, Cozy Home 10 minutes From Downtown, The Oaks",142077465,Kari,,78749,30.23273,-97.84936,Entire home/apt,98,2,147,2021-05-31,5.91,2,90
20265582,Peace Retreat Lake House - Sleeps 10,121585763,Stacy,,78734,30.42163,-97.9258,Entire home/apt,274,3,160,2021-07-05,5.73,4,273
20267177,"Howdy, in Hip South Lamar - South Central Austin",50214619,Ames - Austin Vacay,,78704,30.23865,-97.78354,Entire home/apt,87,1,210,2021-06-27,60.00,13,343
20267588,78704: Hip 1/1 South Lamar - South Central Austin,50214619,Ames - Austin Vacay,,78704,30.23952,-97.7832,Entire home/apt,80,1,214,2021-07-07,4.70,13,351
20269925,"Gateway to Hill Country, Close to Down Town",8556582,Michelle & Mike,,78736,30.24023,-97.91074,Entire home/apt,299,2,10,2018-08-10,0.22,1,0
20276533,Hip Location Adjacent to the Hike and Bike Trail,6306482,Alex,,78741,30.24317,-97.72548,Private room,59,1,47,2020-02-23,1.33,1,0
20281822,Perfectly Located Eastside Condo-Entire 2Bed/2Bath,9510498,Jessica,,78702,30.27901,-97.71948,Entire home/apt,186,3,64,2021-07-05,1.65,2,94
20286689,Relax play work enjoy Lake Tennis Golf near Austin,118676461,Jennifer,,78738,30.35392,-97.99763,Entire home/apt,255,30,5,2020-06-13,0.13,1,0
20295243,"Modern, cozy, private back house - Travis Heights",14384697,Megan,,78704,30.24332,-97.73855,Entire home/apt,337,2,2,2018-10-29,0.05,1,87
20295292,"Friendly, Funky Austin Private Apartment",18421413,Skyler,,78752,30.34201,-97.71183,Private room,41,1,157,2021-06-18,4.16,2,15
20303018,Cozy East Side Condo minutes from SoCo & Downtown,121123550,Rachael,,78741,30.236,-97.72887,Entire home/apt,76,31,20,2021-06-06,0.51,1,263
20305742,Beautiful Hill Country Contemporary Home,143516774,TurnKey Vacation Rentals,,78746,30.29724,-97.84121,Entire home/apt,274,2,31,2021-05-02,1.51,3,319
20306074,Contemporary & Chic in Austin Hill Country,143516774,TurnKey Vacation Rentals,,78734,30.38218,-97.91607,Entire home/apt,351,2,35,2021-06-08,1.29,3,356
20306087,Oak-Shaded House in Bouldin,143516774,TurnKey Vacation Rentals,,78704,30.25515,-97.75826,Entire home/apt,465,2,17,2021-04-05,0.60,3,187
20309638,Tiny House on Lake Travis,89885048,Eric,,78734,30.38287,-97.95487,Entire home/apt,142,2,121,2021-07-05,2.79,1,78
20309723,true peace,144878978,Stacie,,78717,30.49117,-97.80021,Private room,45,180,1,2017-08-13,0.02,1,89
20319737,Hip South 1st Home with Balconies & Yard,109638288,TurnKey Vacation Rentals,,78704,30.24558,-97.75864,Entire home/apt,155,2,28,2021-03-28,0.74,74,334
20322026,Lakeway Hideaway with Lake Travis Views,143521753,TurnKey Vacation Rentals,,78734,30.37405,-97.98927,Entire home/apt,871,2,0,,,16,0
20322030,"Stylish Home: Chef's Kitchen, Fenced Yard & Patio",143519492,TurnKey Vacation Rentals,,78702,30.259,-97.72885,Entire home/apt,330,2,28,2021-06-14,0.95,10,322
20322033,Bright & Modern East Austin Home - Walk Everywhere,143519492,TurnKey Vacation Rentals,,78702,30.2603,-97.72831,Entire home/apt,181,2,27,2020-03-08,0.63,10,0
20322055,W 6th St Penthouse with City Views,143521753,TurnKey Vacation Rentals,,78703,30.27335,-97.75556,Entire home/apt,195,2,31,2021-01-02,1.23,16,39
20322058,Boutique Studio on Historical Farm with Garden,143521753,TurnKey Vacation Rentals,,78704,30.24901,-97.76609,Entire home/apt,90,2,19,2020-03-14,0.52,16,0
20322068,Luxurious Lake Austin Double Decker Boat House,143521753,TurnKey Vacation Rentals,,78734,30.37062,-97.91428,Entire home/apt,539,3,21,2020-10-18,7.59,16,299
20322100,Cozy North Austin Lodge | Near Trails & FC Stadium,143521753,TurnKey Vacation Rentals,,78758,30.40114,-97.69585,Entire home/apt,293,2,10,2021-06-13,0.30,16,339
20322156,Gorgeous Home - Walk to the Best of South Austin,143519492,TurnKey Vacation Rentals,,78704,30.23602,-97.7687,Entire home/apt,144,2,19,2020-10-25,0.46,10,188
20322173,Charming Travis Heights Home Near Hip Highlights,143521753,TurnKey Vacation Rentals,,78704,30.25081,-97.74426,Entire home/apt,116,2,26,2021-06-19,0.77,16,345
20322181,Moroccan-Inspired Retreat in SoLa,143521753,TurnKey Vacation Rentals,,78704,30.25639,-97.76143,Entire home/apt,218,2,31,2021-07-05,0.93,16,334
20322185,Beautiful South Austin Home with Patio & Fire Ring,143521753,TurnKey Vacation Rentals,,78704,30.25866,-97.75506,Entire home/apt,276,2,43,2021-05-20,1.89,16,324
20322191,SoCo Hideaway with Outdoor Living,143521753,TurnKey Vacation Rentals,,78704,30.24348,-97.753,Entire home/apt,116,2,35,2021-06-09,1.09,16,20
20322202,Remodeled South Austin Home Near Trendy Highlights,143521753,TurnKey Vacation Rentals,,78704,30.24933,-97.75529,Entire home/apt,217,2,9,2021-06-13,0.20,16,352
20322217,"Brentwood Home with Fenced Backyard, Near Downtown",143521753,TurnKey Vacation Rentals,,78757,30.34144,-97.72827,Entire home/apt,178,2,5,2019-10-06,0.14,16,189
20322246,"Hill Country Lake Home, Epic Outdoor Living Spaces",143519492,TurnKey Vacation Rentals,,78734,30.37406,-97.98173,Entire home/apt,217,2,30,2021-06-27,30,10,124
20322265,"Walk to Rainey St, Convention Center, Downtown! - Sleeps 4",143521753,TurnKey Vacation Rentals,,78702,30.25919,-97.73392,Entire home/apt,71,2,37,2020-03-01,0.95,16,249
20322272,Townhome with Large Yard - Near Downtown,143521753,TurnKey Vacation Rentals,,78723,30.31702,-97.69902,Entire home/apt,94,30,21,2019-11-28,0.96,16,0
20322278,Chill-Ville: Unique Home with Deck & Lovely View,143521753,TurnKey Vacation Rentals,,78704,30.26031,-97.75392,Entire home/apt,139,2,46,2021-05-24,1.63,16,184
20322285,"Perfect Family Getaway, Minutes to Downtown!",143521753,TurnKey Vacation Rentals,,78704,30.26277,-97.77992,Entire home/apt,923,2,11,2021-06-27,8.05,16,346
20322291,Bungalow w/ Amazing Location Near Downtown & SoCo,143519492,TurnKey Vacation Rentals,,78704,30.24443,-97.75941,Entire home/apt,117,30,11,2019-04-08,0.23,10,341
20322318,Lakeway Waterfront Home with Private Dock,143519492,TurnKey Vacation Rentals,,78734,30.37185,-97.9876,Entire home/apt,166,2,21,2021-06-20,0.53,10,56
20322322,Urban Oasis - Walk to Zilker Park & South Lamar,143519492,TurnKey Vacation Rentals,,78704,30.24973,-97.77297,Entire home/apt,341,2,26,2020-02-16,0.64,10,104
20322343,Chic & Modern Beauty - Near UT & Downtown,143519492,TurnKey Vacation Rentals,,78757,30.35022,-97.72714,Entire home/apt,216,2,11,2021-04-14,0.26,10,325
20322363,Remodeled Rosedale Home with Luxe Kitchen & Patio,143519492,TurnKey Vacation Rentals,,78731,30.32519,-97.75454,Entire home/apt,169,2,22,2020-08-15,0.92,10,322
20329396,3 bed 2.5 bath 9mins Sth of Austin. PlentyParking,145041866,Mark,,78744,30.15953,-97.78048,Entire home/apt,400,2,32,2019-01-20,0.80,1,363
20330016,Downtown Loft by the Lake,29125038,Mike,,78703,30.26811,-97.75167,Entire home/apt,218,2,1,2017-10-08,0.02,1,0
